filepath,relpath,dataset,split
data\processed\augmented\001\frame_0002_face_0_aug_2.jpg,001\frame_0002_face_0_aug_2.jpg,001,train
data\processed\augmented\001\frame_0012_face_0_aug_0.jpg,001\frame_0012_face_0_aug_0.jpg,001,train
data\processed\augmented\001\frame_0011_face_0_aug_2.jpg,001\frame_0011_face_0_aug_2.jpg,001,train
data\processed\augmented\001\frame_0015_face_0_aug_2.jpg,001\frame_0015_face_0_aug_2.jpg,001,train
data\processed\augmented\001\frame_0004_face_0_aug_2.jpg,001\frame_0004_face_0_aug_2.jpg,001,train
data\processed\augmented\001\frame_0017_face_0_aug_1.jpg,001\frame_0017_face_0_aug_1.jpg,001,train
data\processed\augmented\001\frame_0001_face_0_aug_0.jpg,001\frame_0001_face_0_aug_0.jpg,001,train
data\processed\augmented\001\frame_0015_face_0_aug_1.jpg,001\frame_0015_face_0_aug_1.jpg,001,train
data\processed\augmented\001\frame_0007_face_0_aug_2.jpg,001\frame_0007_face_0_aug_2.jpg,001,train
data\processed\augmented\001\frame_0003_face_0_aug_2.jpg,001\frame_0003_face_0_aug_2.jpg,001,train
data\processed\augmented\001\frame_0006_face_0_aug_2.jpg,001\frame_0006_face_0_aug_2.jpg,001,train
data\processed\augmented\001\frame_0006_face_0_aug_1.jpg,001\frame_0006_face_0_aug_1.jpg,001,train
data\processed\augmented\001\frame_0008_face_0_aug_1.jpg,001\frame_0008_face_0_aug_1.jpg,001,train
data\processed\augmented\001\frame_0008_face_0_aug_0.jpg,001\frame_0008_face_0_aug_0.jpg,001,train
data\processed\augmented\001\frame_0012_face_0_aug_2.jpg,001\frame_0012_face_0_aug_2.jpg,001,train
data\processed\augmented\001\frame_0018_face_0_aug_0.jpg,001\frame_0018_face_0_aug_0.jpg,001,train
data\processed\augmented\001\frame_0002_face_0_aug_0.jpg,001\frame_0002_face_0_aug_0.jpg,001,train
data\processed\augmented\001\frame_0002_face_0_aug_1.jpg,001\frame_0002_face_0_aug_1.jpg,001,train
data\processed\augmented\001\frame_0017_face_0_aug_2.jpg,001\frame_0017_face_0_aug_2.jpg,001,train
data\processed\augmented\001\frame_0013_face_0_aug_2.jpg,001\frame_0013_face_0_aug_2.jpg,001,train
data\processed\augmented\001\frame_0007_face_0_aug_1.jpg,001\frame_0007_face_0_aug_1.jpg,001,train
data\processed\augmented\002\frame_0014_face_0_aug_0.jpg,002\frame_0014_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0026_face_0_aug_1.jpg,002\frame_0026_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0001_face_0_aug_0.jpg,002\frame_0001_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0000_face_0_aug_1.jpg,002\frame_0000_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0002_face_0_aug_0.jpg,002\frame_0002_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0009_face_0_aug_2.jpg,002\frame_0009_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0005_face_0_aug_0.jpg,002\frame_0005_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0011_face_0_aug_1.jpg,002\frame_0011_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0022_face_0_aug_0.jpg,002\frame_0022_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0013_face_0_aug_2.jpg,002\frame_0013_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0004_face_0_aug_1.jpg,002\frame_0004_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0003_face_0_aug_2.jpg,002\frame_0003_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0019_face_0_aug_2.jpg,002\frame_0019_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0025_face_0_aug_2.jpg,002\frame_0025_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0008_face_0_aug_2.jpg,002\frame_0008_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0008_face_0_aug_0.jpg,002\frame_0008_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0005_face_0_aug_1.jpg,002\frame_0005_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0012_face_0_aug_1.jpg,002\frame_0012_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0015_face_0_aug_1.jpg,002\frame_0015_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0023_face_0_aug_0.jpg,002\frame_0023_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0016_face_0_aug_2.jpg,002\frame_0016_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0001_face_0_aug_2.jpg,002\frame_0001_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0017_face_0_aug_0.jpg,002\frame_0017_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0011_face_0_aug_0.jpg,002\frame_0011_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0014_face_0_aug_2.jpg,002\frame_0014_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0020_face_0_aug_1.jpg,002\frame_0020_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0010_face_0_aug_0.jpg,002\frame_0010_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0024_face_0_aug_0.jpg,002\frame_0024_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0016_face_0_aug_1.jpg,002\frame_0016_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0012_face_0_aug_0.jpg,002\frame_0012_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0024_face_0_aug_2.jpg,002\frame_0024_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0007_face_0_aug_2.jpg,002\frame_0007_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0004_face_0_aug_2.jpg,002\frame_0004_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0010_face_0_aug_1.jpg,002\frame_0010_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0017_face_0_aug_2.jpg,002\frame_0017_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0027_face_0_aug_1.jpg,002\frame_0027_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0008_face_0_aug_1.jpg,002\frame_0008_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0014_face_0_aug_1.jpg,002\frame_0014_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0006_face_0_aug_1.jpg,002\frame_0006_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0023_face_0_aug_2.jpg,002\frame_0023_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0026_face_0_aug_0.jpg,002\frame_0026_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0003_face_0_aug_0.jpg,002\frame_0003_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0012_face_0_aug_2.jpg,002\frame_0012_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0020_face_0_aug_0.jpg,002\frame_0020_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0000_face_0_aug_2.jpg,002\frame_0000_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0025_face_0_aug_0.jpg,002\frame_0025_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0020_face_0_aug_2.jpg,002\frame_0020_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0009_face_0_aug_0.jpg,002\frame_0009_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0006_face_0_aug_2.jpg,002\frame_0006_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0018_face_0_aug_1.jpg,002\frame_0018_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0010_face_0_aug_2.jpg,002\frame_0010_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0002_face_0_aug_1.jpg,002\frame_0002_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0018_face_0_aug_0.jpg,002\frame_0018_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0018_face_0_aug_2.jpg,002\frame_0018_face_0_aug_2.jpg,002,train
data\processed\augmented\002\frame_0021_face_0_aug_1.jpg,002\frame_0021_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0017_face_0_aug_1.jpg,002\frame_0017_face_0_aug_1.jpg,002,train
data\processed\augmented\002\frame_0015_face_0_aug_0.jpg,002\frame_0015_face_0_aug_0.jpg,002,train
data\processed\augmented\002\frame_0019_face_0_aug_0.jpg,002\frame_0019_face_0_aug_0.jpg,002,train
data\processed\augmented\003\frame_0004_face_0_aug_2.jpg,003\frame_0004_face_0_aug_2.jpg,003,train
data\processed\augmented\003\frame_0008_face_0_aug_1.jpg,003\frame_0008_face_0_aug_1.jpg,003,train
data\processed\augmented\003\frame_0003_face_0_aug_2.jpg,003\frame_0003_face_0_aug_2.jpg,003,train
data\processed\augmented\003\frame_0007_face_0_aug_0.jpg,003\frame_0007_face_0_aug_0.jpg,003,train
data\processed\augmented\003\frame_0003_face_0_aug_0.jpg,003\frame_0003_face_0_aug_0.jpg,003,train
data\processed\augmented\003\frame_0011_face_0_aug_0.jpg,003\frame_0011_face_0_aug_0.jpg,003,train
data\processed\augmented\003\frame_0011_face_0_aug_1.jpg,003\frame_0011_face_0_aug_1.jpg,003,train
data\processed\augmented\003\frame_0000_face_0_aug_1.jpg,003\frame_0000_face_0_aug_1.jpg,003,train
data\processed\augmented\003\frame_0001_face_0_aug_2.jpg,003\frame_0001_face_0_aug_2.jpg,003,train
data\processed\augmented\003\frame_0007_face_0_aug_1.jpg,003\frame_0007_face_0_aug_1.jpg,003,train
data\processed\augmented\003\frame_0004_face_0_aug_0.jpg,003\frame_0004_face_0_aug_0.jpg,003,train
data\processed\augmented\003\frame_0002_face_0_aug_2.jpg,003\frame_0002_face_0_aug_2.jpg,003,train
data\processed\augmented\003\frame_0002_face_0_aug_0.jpg,003\frame_0002_face_0_aug_0.jpg,003,train
data\processed\augmented\003\frame_0005_face_0_aug_2.jpg,003\frame_0005_face_0_aug_2.jpg,003,train
data\processed\augmented\003\frame_0003_face_0_aug_1.jpg,003\frame_0003_face_0_aug_1.jpg,003,train
data\processed\augmented\003\frame_0006_face_0_aug_2.jpg,003\frame_0006_face_0_aug_2.jpg,003,train
data\processed\augmented\003\frame_0010_face_0_aug_2.jpg,003\frame_0010_face_0_aug_2.jpg,003,train
data\processed\augmented\003\frame_0009_face_0_aug_1.jpg,003\frame_0009_face_0_aug_1.jpg,003,train
data\processed\augmented\003\frame_0009_face_0_aug_0.jpg,003\frame_0009_face_0_aug_0.jpg,003,train
data\processed\augmented\003\frame_0001_face_0_aug_1.jpg,003\frame_0001_face_0_aug_1.jpg,003,train
data\processed\augmented\003\frame_0006_face_0_aug_1.jpg,003\frame_0006_face_0_aug_1.jpg,003,train
data\processed\augmented\003\frame_0008_face_0_aug_0.jpg,003\frame_0008_face_0_aug_0.jpg,003,train
data\processed\augmented\003\frame_0007_face_0_aug_2.jpg,003\frame_0007_face_0_aug_2.jpg,003,train
data\processed\augmented\003\frame_0000_face_0_aug_0.jpg,003\frame_0000_face_0_aug_0.jpg,003,train
data\processed\augmented\004\frame_0004_face_0_aug_2.jpg,004\frame_0004_face_0_aug_2.jpg,004,train
data\processed\augmented\004\frame_0008_face_0_aug_1.jpg,004\frame_0008_face_0_aug_1.jpg,004,train
data\processed\augmented\004\frame_0003_face_0_aug_2.jpg,004\frame_0003_face_0_aug_2.jpg,004,train
data\processed\augmented\004\frame_0007_face_0_aug_0.jpg,004\frame_0007_face_0_aug_0.jpg,004,train
data\processed\augmented\004\frame_0003_face_0_aug_0.jpg,004\frame_0003_face_0_aug_0.jpg,004,train
data\processed\augmented\004\frame_0011_face_0_aug_0.jpg,004\frame_0011_face_0_aug_0.jpg,004,train
data\processed\augmented\004\frame_0011_face_0_aug_1.jpg,004\frame_0011_face_0_aug_1.jpg,004,train
data\processed\augmented\004\frame_0000_face_0_aug_1.jpg,004\frame_0000_face_0_aug_1.jpg,004,train
data\processed\augmented\004\frame_0001_face_0_aug_2.jpg,004\frame_0001_face_0_aug_2.jpg,004,train
data\processed\augmented\004\frame_0007_face_0_aug_1.jpg,004\frame_0007_face_0_aug_1.jpg,004,train
data\processed\augmented\004\frame_0004_face_0_aug_0.jpg,004\frame_0004_face_0_aug_0.jpg,004,train
data\processed\augmented\004\frame_0002_face_0_aug_2.jpg,004\frame_0002_face_0_aug_2.jpg,004,train
data\processed\augmented\004\frame_0002_face_0_aug_0.jpg,004\frame_0002_face_0_aug_0.jpg,004,train
data\processed\augmented\004\frame_0005_face_0_aug_2.jpg,004\frame_0005_face_0_aug_2.jpg,004,train
data\processed\augmented\004\frame_0003_face_0_aug_1.jpg,004\frame_0003_face_0_aug_1.jpg,004,train
data\processed\augmented\004\frame_0006_face_0_aug_2.jpg,004\frame_0006_face_0_aug_2.jpg,004,train
data\processed\augmented\004\frame_0010_face_0_aug_2.jpg,004\frame_0010_face_0_aug_2.jpg,004,train
data\processed\augmented\004\frame_0009_face_0_aug_1.jpg,004\frame_0009_face_0_aug_1.jpg,004,train
data\processed\augmented\004\frame_0009_face_0_aug_0.jpg,004\frame_0009_face_0_aug_0.jpg,004,train
data\processed\augmented\004\frame_0001_face_0_aug_1.jpg,004\frame_0001_face_0_aug_1.jpg,004,train
data\processed\augmented\004\frame_0006_face_0_aug_1.jpg,004\frame_0006_face_0_aug_1.jpg,004,train
data\processed\augmented\004\frame_0008_face_0_aug_0.jpg,004\frame_0008_face_0_aug_0.jpg,004,train
data\processed\augmented\004\frame_0007_face_0_aug_2.jpg,004\frame_0007_face_0_aug_2.jpg,004,train
data\processed\augmented\004\frame_0000_face_0_aug_0.jpg,004\frame_0000_face_0_aug_0.jpg,004,train
data\processed\augmented\005\frame_0012_face_0_aug_2.jpg,005\frame_0012_face_0_aug_2.jpg,005,train
data\processed\augmented\005\frame_0011_face_0_aug_0.jpg,005\frame_0011_face_0_aug_0.jpg,005,train
data\processed\augmented\005\frame_0000_face_0_aug_2.jpg,005\frame_0000_face_0_aug_2.jpg,005,train
data\processed\augmented\005\frame_0015_face_0_aug_0.jpg,005\frame_0015_face_0_aug_0.jpg,005,train
data\processed\augmented\005\frame_0009_face_0_aug_2.jpg,005\frame_0009_face_0_aug_2.jpg,005,train
data\processed\augmented\005\frame_0007_face_0_aug_1.jpg,005\frame_0007_face_0_aug_1.jpg,005,train
data\processed\augmented\005\frame_0006_face_0_aug_2.jpg,005\frame_0006_face_0_aug_2.jpg,005,train
data\processed\augmented\005\frame_0005_face_0_aug_2.jpg,005\frame_0005_face_0_aug_2.jpg,005,train
data\processed\augmented\005\frame_0010_face_0_aug_1.jpg,005\frame_0010_face_0_aug_1.jpg,005,train
data\processed\augmented\005\frame_0007_face_0_aug_0.jpg,005\frame_0007_face_0_aug_0.jpg,005,train
data\processed\augmented\005\frame_0001_face_0_aug_1.jpg,005\frame_0001_face_0_aug_1.jpg,005,train
data\processed\augmented\005\frame_0015_face_0_aug_2.jpg,005\frame_0015_face_0_aug_2.jpg,005,train
data\processed\augmented\005\frame_0013_face_0_aug_0.jpg,005\frame_0013_face_0_aug_0.jpg,005,train
data\processed\augmented\005\frame_0003_face_0_aug_0.jpg,005\frame_0003_face_0_aug_0.jpg,005,train
data\processed\augmented\005\frame_0008_face_0_aug_1.jpg,005\frame_0008_face_0_aug_1.jpg,005,train
data\processed\augmented\005\frame_0013_face_0_aug_2.jpg,005\frame_0013_face_0_aug_2.jpg,005,train
data\processed\augmented\005\frame_0011_face_0_aug_1.jpg,005\frame_0011_face_0_aug_1.jpg,005,train
data\processed\augmented\005\frame_0002_face_0_aug_2.jpg,005\frame_0002_face_0_aug_2.jpg,005,train
data\processed\augmented\005\frame_0003_face_0_aug_1.jpg,005\frame_0003_face_0_aug_1.jpg,005,train
data\processed\augmented\005\frame_0014_face_0_aug_0.jpg,005\frame_0014_face_0_aug_0.jpg,005,train
data\processed\augmented\005\frame_0001_face_0_aug_0.jpg,005\frame_0001_face_0_aug_0.jpg,005,train
data\processed\augmented\005\frame_0002_face_0_aug_1.jpg,005\frame_0002_face_0_aug_1.jpg,005,train
data\processed\augmented\005\frame_0014_face_0_aug_2.jpg,005\frame_0014_face_0_aug_2.jpg,005,train
data\processed\augmented\005\frame_0006_face_0_aug_0.jpg,005\frame_0006_face_0_aug_0.jpg,005,train
data\processed\augmented\005\frame_0005_face_0_aug_0.jpg,005\frame_0005_face_0_aug_0.jpg,005,train
data\processed\augmented\005\frame_0000_face_0_aug_1.jpg,005\frame_0000_face_0_aug_1.jpg,005,train
data\processed\augmented\005\frame_0010_face_0_aug_0.jpg,005\frame_0010_face_0_aug_0.jpg,005,train
data\processed\augmented\005\frame_0003_face_0_aug_2.jpg,005\frame_0003_face_0_aug_2.jpg,005,train
data\processed\augmented\005\frame_0004_face_0_aug_1.jpg,005\frame_0004_face_0_aug_1.jpg,005,train
data\processed\augmented\005\frame_0010_face_0_aug_2.jpg,005\frame_0010_face_0_aug_2.jpg,005,train
data\processed\augmented\005\frame_0007_face_0_aug_2.jpg,005\frame_0007_face_0_aug_2.jpg,005,train
data\processed\augmented\005\frame_0009_face_0_aug_1.jpg,005\frame_0009_face_0_aug_1.jpg,005,train
data\processed\augmented\006\frame_0004_face_0_aug_2.jpg,006\frame_0004_face_0_aug_2.jpg,006,train
data\processed\augmented\006\frame_0008_face_0_aug_1.jpg,006\frame_0008_face_0_aug_1.jpg,006,train
data\processed\augmented\006\frame_0003_face_0_aug_2.jpg,006\frame_0003_face_0_aug_2.jpg,006,train
data\processed\augmented\006\frame_0007_face_0_aug_0.jpg,006\frame_0007_face_0_aug_0.jpg,006,train
data\processed\augmented\006\frame_0003_face_0_aug_0.jpg,006\frame_0003_face_0_aug_0.jpg,006,train
data\processed\augmented\006\frame_0011_face_0_aug_0.jpg,006\frame_0011_face_0_aug_0.jpg,006,train
data\processed\augmented\006\frame_0011_face_0_aug_1.jpg,006\frame_0011_face_0_aug_1.jpg,006,train
data\processed\augmented\006\frame_0000_face_0_aug_1.jpg,006\frame_0000_face_0_aug_1.jpg,006,train
data\processed\augmented\006\frame_0001_face_0_aug_2.jpg,006\frame_0001_face_0_aug_2.jpg,006,train
data\processed\augmented\006\frame_0007_face_0_aug_1.jpg,006\frame_0007_face_0_aug_1.jpg,006,train
data\processed\augmented\006\frame_0004_face_0_aug_0.jpg,006\frame_0004_face_0_aug_0.jpg,006,train
data\processed\augmented\006\frame_0002_face_0_aug_2.jpg,006\frame_0002_face_0_aug_2.jpg,006,train
data\processed\augmented\006\frame_0002_face_0_aug_0.jpg,006\frame_0002_face_0_aug_0.jpg,006,train
data\processed\augmented\006\frame_0005_face_0_aug_2.jpg,006\frame_0005_face_0_aug_2.jpg,006,train
data\processed\augmented\006\frame_0003_face_0_aug_1.jpg,006\frame_0003_face_0_aug_1.jpg,006,train
data\processed\augmented\006\frame_0006_face_0_aug_2.jpg,006\frame_0006_face_0_aug_2.jpg,006,train
data\processed\augmented\006\frame_0010_face_0_aug_2.jpg,006\frame_0010_face_0_aug_2.jpg,006,train
data\processed\augmented\006\frame_0009_face_0_aug_1.jpg,006\frame_0009_face_0_aug_1.jpg,006,train
data\processed\augmented\006\frame_0009_face_0_aug_0.jpg,006\frame_0009_face_0_aug_0.jpg,006,train
data\processed\augmented\006\frame_0001_face_0_aug_1.jpg,006\frame_0001_face_0_aug_1.jpg,006,train
data\processed\augmented\006\frame_0006_face_0_aug_1.jpg,006\frame_0006_face_0_aug_1.jpg,006,train
data\processed\augmented\006\frame_0008_face_0_aug_0.jpg,006\frame_0008_face_0_aug_0.jpg,006,train
data\processed\augmented\006\frame_0007_face_0_aug_2.jpg,006\frame_0007_face_0_aug_2.jpg,006,train
data\processed\augmented\006\frame_0000_face_0_aug_0.jpg,006\frame_0000_face_0_aug_0.jpg,006,train
data\processed\augmented\007\frame_0015_face_0_aug_1.jpg,007\frame_0015_face_0_aug_1.jpg,007,train
data\processed\augmented\007\frame_0016_face_0_aug_0.jpg,007\frame_0016_face_0_aug_0.jpg,007,train
data\processed\augmented\007\frame_0015_face_0_aug_0.jpg,007\frame_0015_face_0_aug_0.jpg,007,train
data\processed\augmented\007\frame_0001_face_0_aug_0.jpg,007\frame_0001_face_0_aug_0.jpg,007,train
data\processed\augmented\007\frame_0000_face_0_aug_1.jpg,007\frame_0000_face_0_aug_1.jpg,007,train
data\processed\augmented\007\frame_0011_face_0_aug_1.jpg,007\frame_0011_face_0_aug_1.jpg,007,train
data\processed\augmented\007\frame_0016_face_0_aug_2.jpg,007\frame_0016_face_0_aug_2.jpg,007,train
data\processed\augmented\007\frame_0008_face_0_aug_2.jpg,007\frame_0008_face_0_aug_2.jpg,007,train
data\processed\augmented\007\frame_0006_face_0_aug_0.jpg,007\frame_0006_face_0_aug_0.jpg,007,train
data\processed\augmented\007\frame_0015_face_0_aug_2.jpg,007\frame_0015_face_0_aug_2.jpg,007,train
data\processed\augmented\007\frame_0004_face_0_aug_2.jpg,007\frame_0004_face_0_aug_2.jpg,007,train
data\processed\augmented\007\frame_0017_face_0_aug_2.jpg,007\frame_0017_face_0_aug_2.jpg,007,train
data\processed\augmented\007\frame_0002_face_0_aug_2.jpg,007\frame_0002_face_0_aug_2.jpg,007,train
data\processed\augmented\007\frame_0013_face_0_aug_2.jpg,007\frame_0013_face_0_aug_2.jpg,007,train
data\processed\augmented\007\frame_0014_face_0_aug_2.jpg,007\frame_0014_face_0_aug_2.jpg,007,train
data\processed\augmented\007\frame_0000_face_0_aug_2.jpg,007\frame_0000_face_0_aug_2.jpg,007,train
data\processed\augmented\007\frame_0008_face_0_aug_0.jpg,007\frame_0008_face_0_aug_0.jpg,007,train
data\processed\augmented\007\frame_0011_face_0_aug_0.jpg,007\frame_0011_face_0_aug_0.jpg,007,train
data\processed\augmented\007\frame_0018_face_0_aug_1.jpg,007\frame_0018_face_0_aug_1.jpg,007,train
data\processed\augmented\007\frame_0006_face_0_aug_2.jpg,007\frame_0006_face_0_aug_2.jpg,007,train
data\processed\augmented\007\frame_0003_face_0_aug_2.jpg,007\frame_0003_face_0_aug_2.jpg,007,train
